Record_Date,Raw_pH,Raw_COD_mgL,Raw_BOD_mgL,Raw_TDS_mgL,Raw_TSS_mgL,Input_Lime_kg_m3,Input_Urea_kg_m3,Input_DAP_kg_m3,Output_Biogas_m3_m3,Operating_Shift,Production_Level,Plant_Status,Final_pH,Final_COD_mgL,Final_BOD_mgL,Final_TDS_mgL,Final_TSS_mgL,Month,Quarter,Season,Compliance
2024-02-23,4.31,118128.0,53799.0,85148.0,12984.0,3.39,0.32,0.08,305.45,Night,Low,Maintenance,7.2,180.0,26.0,127.0,12.0,February,1,Dry Season,0
2024-02-24,4.39,108396.0,56893.0,85066.0,16164.0,2.5,0.36,0.08,379.54,Morning,Low,Normal Operation,7.04,40.0,13.0,124.0,14.0,February,1,Dry Season,1
2024-02-25,4.37,106941.0,51520.0,97500.0,19728.0,4.22,0.32,0.08,311.47,Morning,Medium,Maintenance,7.34,180.0,25.0,64.0,9.0,February,1,Dry Season,0
2024-02-26,4.05,114693.0,51614.0,80056.0,22536.0,3.41,0.39,0.1,340.86,Morning,Medium,Normal Operation,7.1,57.0,7.0,108.0,6.0,February,1,Dry Season,1
2024-02-27,4.14,129073.0,64680.0,91985.0,14125.0,3.26,0.29,0.07,405.51,Afternoon,Medium,Normal Operation,7.16,180.0,29.0,128.0,12.0,February,1,Dry Season,0
2024-02-28,4.26,121523.0,55255.0,100962.0,16721.0,3.67,0.27,0.1,365.12,Morning,Medium,Normal Operation,7.33,180.0,31.0,112.0,14.0,February,1,Dry Season,0
2024-02-29,4.38,110553.0,52802.0,85381.0,17470.0,4.14,0.24,0.13,362.27,Night,Medium,Normal Operation,7.3,180.0,27.0,98.0,13.0,February,1,Dry Season,0
2024-03-01,4.11,124260.0,64702.0,83539.0,13115.0,3.55,0.22,0.1,445.25,Afternoon,Medium,Normal Operation,7.05,180.0,28.0,99.0,16.0,March,1,Long Rains,0
2024-03-02,4.17,90000.0,41064.0,87925.0,20070.0,3.58,0.32,0.09,258.81,Afternoon,Low,Maintenance,7.2,180.0,34.0,142.0,11.0,March,1,Long Rains,0
2024-03-03,4.0,128785.0,68763.0,100618.0,15466.0,3.25,0.33,0.09,430.95,Afternoon,High,Normal Operation,7.08,180.0,24.0,83.0,12.0,March,1,Long Rains,0
2024-03-04,3.98,94123.0,42392.0,91747.0,17316.0,3.14,0.31,0.12,250.05,Morning,Low,Normal Operation,7.22,40.0,5.0,94.0,13.0,March,1,Long Rains,1
2024-03-05,4.35,110651.0,52524.0,85219.0,16418.0,3.01,0.42,0.08,362.61,Afternoon,High,Normal Operation,7.21,180.0,33.0,100.0,20.0,March,1,Long Rains,0
2024-03-06,4.44,101564.0,53229.0,94355.0,15237.0,2.87,0.42,0.14,329.32,Night,Medium,Normal Operation,6.95,180.0,28.0,103.0,12.0,March,1,Long Rains,0
2024-03-07,4.19,99464.0,47904.0,80079.0,17975.0,2.93,0.33,0.14,272.64,Night,Medium,Normal Operation,7.25,180.0,31.0,87.0,16.0,March,1,Long Rains,0
2024-03-08,4.38,128930.0,59332.0,96132.0,17245.0,2.66,0.24,0.11,364.84,Night,High,Normal Operation,6.99,180.0,31.0,106.0,7.0,March,1,Long Rains,0
2024-03-09,4.27,109388.0,53165.0,93677.0,16698.0,3.17,0.32,0.1,302.54,Night,High,Normal Operation,7.38,180.0,21.0,73.0,10.0,March,1,Long Rains,0
2024-03-10,4.08,119158.0,56843.0,87230.0,15450.0,2.53,0.31,0.12,355.49,Morning,Medium,Normal Operation,7.09,180.0,39.0,85.0,18.0,March,1,Long Rains,0
2024-03-11,4.27,114437.0,61140.0,82453.0,19118.0,3.28,0.31,0.12,387.75,Morning,Low,Normal Operation,7.06,40.0,10.0,109.0,17.0,March,1,Long Rains,1
2024-03-12,4.48,120724.0,58109.0,82020.0,23788.0,3.19,0.31,0.08,349.04,Morning,High,Normal Operation,7.06,180.0,21.0,60.0,13.0,March,1,Long Rains,0
2024-03-13,4.19,115922.0,61310.0,94813.0,18490.0,3.26,0.31,0.09,343.8,Morning,Medium,Normal Operation,7.25,180.0,29.0,111.0,19.0,March,1,Long Rains,0
2024-03-14,4.48,99604.0,53705.0,101061.0,21486.0,2.99,0.33,0.07,371.39,Morning,Low,Normal Operation,7.12,180.0,25.0,60.0,13.0,March,1,Long Rains,0
2024-03-15,3.8,126955.0,62637.0,84264.0,13134.0,4.43,0.31,0.11,417.17,Afternoon,High,Normal Operation,7.37,180.0,40.0,64.0,7.0,March,1,Long Rains,0
2024-03-16,4.35,109075.0,59009.0,94125.0,18552.0,3.74,0.36,0.11,398.8,Afternoon,Low,Normal Operation,7.48,87.0,18.0,77.0,14.0,March,1,Long Rains,1
2024-03-17,4.22,96321.0,46979.0,71217.0,14159.0,2.7,0.37,0.07,284.24,Night,Low,Normal Operation,7.04,180.0,35.0,92.0,8.0,March,1,Long Rains,0
2024-03-18,4.15,109863.0,60030.0,84738.0,12831.0,3.29,0.3,0.09,398.67,Afternoon,Low,Normal Operation,7.22,71.0,11.0,125.0,18.0,March,1,Long Rains,1
2024-03-19,4.22,133009.0,61042.0,89720.0,15412.0,2.96,0.43,0.07,380.17,Night,Medium,Normal Operation,7.33,180.0,42.0,94.0,15.0,March,1,Long Rains,0
2024-03-20,3.84,125203.0,64943.0,81813.0,22172.0,2.79,0.29,0.08,376.77,Morning,Medium,Normal Operation,7.17,180.0,36.0,94.0,9.0,March,1,Long Rains,0
2024-03-21,4.16,110816.0,55340.0,81571.0,21325.0,2.66,0.25,0.11,314.7,Morning,Medium,Normal Operation,6.93,119.0,16.0,99.0,15.0,March,1,Long Rains,0
2024-03-22,4.26,110809.0,54160.0,83990.0,18851.0,3.37,0.37,0.09,325.91,Afternoon,Medium,Normal Operation,7.29,180.0,29.0,70.0,19.0,March,1,Long Rains,0
2024-03-23,4.47,111140.0,57045.0,92630.0,12636.0,2.93,0.3,0.09,325.52,Morning,Medium,Maintenance,7.02,180.0,26.0,92.0,13.0,March,1,Long Rains,0
2024-03-24,4.11,139921.0,72813.0,88314.0,17313.0,3.59,0.37,0.07,509.5,Morning,Medium,Normal Operation,7.43,93.0,15.0,72.0,3.0,March,1,Long Rains,1
2024-03-25,4.05,119583.0,53865.0,70000.0,19056.0,3.6,0.21,0.1,300.23,Morning,Low,Normal Operation,7.16,40.0,10.0,92.0,16.0,March,1,Long Rains,1
2024-03-26,4.11,120160.0,56078.0,70914.0,18614.0,3.75,0.43,0.1,345.54,Morning,High,Normal Operation,7.64,180.0,22.0,100.0,9.0,March,1,Long Rains,0
2024-03-27,4.36,127363.0,66395.0,84538.0,12000.0,2.86,0.39,0.09,410.2,Afternoon,Low,Normal Operation,7.32,180.0,19.0,82.0,6.0,March,1,Long Rains,0
2024-03-28,4.26,117865.0,60894.0,94119.0,14884.0,3.39,0.26,0.1,362.38,Afternoon,High,Normal Operation,7.13,180.0,24.0,109.0,14.0,March,1,Long Rains,0
2024-03-29,4.1,111891.0,61160.0,70000.0,17776.0,3.45,0.26,0.1,388.8,Afternoon,Low,Maintenance,7.24,180.0,27.0,100.0,22.0,March,1,Long Rains,0
2024-03-30,4.29,112644.0,59262.0,85502.0,19877.0,3.01,0.45,0.08,339.27,Afternoon,High,Normal Operation,7.26,180.0,38.0,102.0,12.0,March,1,Long Rains,0
2024-03-31,4.22,114141.0,62216.0,85264.0,12000.0,2.89,0.31,0.07,415.34,Morning,Low,Normal Operation,7.25,180.0,19.0,72.0,16.0,March,1,Long Rains,0
2024-04-01,4.37,114553.0,59597.0,102495.0,17433.0,3.84,0.3,0.14,357.5,Morning,Low,Normal Operation,7.35,40.0,10.0,85.0,18.0,April,2,Long Rains,1
2024-04-02,4.07,123732.0,59367.0,86535.0,18501.0,3.29,0.21,0.09,379.18,Morning,High,Normal Operation,7.36,180.0,42.0,83.0,10.0,April,2,Long Rains,0
2024-04-03,4.14,115623.0,53249.0,93447.0,20974.0,3.45,0.33,0.1,350.03,Morning,High,Normal Operation,7.22,180.0,44.0,106.0,4.0,April,2,Long Rains,0
2024-04-04,4.13,123792.0,65385.0,91271.0,20425.0,2.87,0.34,0.12,446.81,Afternoon,Medium,Normal Operation,7.11,180.0,36.0,121.0,14.0,April,2,Long Rains,0
2024-04-05,3.94,114031.0,58659.0,70825.0,20039.0,2.71,0.39,0.15,396.17,Night,Medium,Maintenance,7.09,180.0,25.0,113.0,11.0,April,2,Long Rains,0
2024-04-06,4.25,115944.0,52733.0,96914.0,15200.0,2.97,0.27,0.08,338.15,Afternoon,Medium,Normal Operation,7.27,180.0,23.0,78.0,11.0,April,2,Long Rains,0
2024-04-07,4.25,91022.0,44237.0,91939.0,12000.0,3.15,0.26,0.11,269.08,Morning,High,Normal Operation,7.24,180.0,30.0,110.0,11.0,April,2,Long Rains,0
2024-04-08,4.2,125996.0,68753.0,94574.0,16624.0,2.77,0.38,0.09,430.04,Afternoon,Medium,Maintenance,7.17,180.0,38.0,69.0,13.0,April,2,Long Rains,0
2024-04-09,4.16,119158.0,59584.0,110000.0,21506.0,3.2,0.41,0.09,396.42,Afternoon,Medium,Normal Operation,7.29,180.0,25.0,69.0,13.0,April,2,Long Rains,0
2024-04-10,3.95,126976.0,62634.0,71243.0,22877.0,2.52,0.26,0.09,426.93,Afternoon,Medium,Normal Operation,6.85,180.0,31.0,72.0,9.0,April,2,Long Rains,0
2024-04-11,4.12,90000.0,44619.0,105522.0,20487.0,2.75,0.41,0.08,252.35,Afternoon,Medium,Normal Operation,7.17,180.0,40.0,88.0,8.0,April,2,Long Rains,0
2024-04-12,4.14,140000.0,65924.0,87413.0,19503.0,3.47,0.35,0.1,400.64,Afternoon,High,Normal Operation,7.27,180.0,45.0,103.0,16.0,April,2,Long Rains,0
2024-04-13,4.06,113325.0,55175.0,92586.0,19329.0,3.44,0.42,0.07,367.69,Afternoon,Low,Normal Operation,7.44,71.0,14.0,50.0,4.0,April,2,Long Rains,1
2024-04-14,4.17,128298.0,62479.0,89590.0,16054.0,3.04,0.35,0.12,384.09,Afternoon,Low,Normal Operation,6.99,57.0,14.0,126.0,11.0,April,2,Long Rains,1
2024-04-15,4.27,102521.0,46671.0,86182.0,17545.0,2.79,0.2,0.1,279.95,Morning,Medium,Normal Operation,7.33,180.0,30.0,100.0,7.0,April,2,Long Rains,0
2024-04-16,4.54,122353.0,64450.0,84872.0,23842.0,2.79,0.34,0.11,394.24,Afternoon,Medium,Normal Operation,7.15,180.0,29.0,62.0,18.0,April,2,Long Rains,0
2024-04-17,4.23,102359.0,50325.0,92966.0,14701.0,3.05,0.41,0.09,322.29,Morning,Low,Normal Operation,7.24,40.0,10.0,101.0,2.0,April,2,Long Rains,1
2024-04-18,4.25,107515.0,57221.0,76345.0,23652.0,3.46,0.3,0.09,400.53,Morning,Medium,Normal Operation,7.44,117.0,23.0,112.0,17.0,April,2,Long Rains,0
2024-04-19,4.19,137968.0,73818.0,96755.0,16873.0,3.57,0.33,0.11,460.59,Night,High,Normal Operation,7.32,180.0,36.0,111.0,15.0,April,2,Long Rains,0
2024-04-20,3.85,112712.0,53110.0,86254.0,22639.0,3.0,0.34,0.08,308.71,Night,Low,Normal Operation,7.22,180.0,26.0,130.0,10.0,April,2,Long Rains,0
2024-04-21,4.2,117609.0,60655.0,79829.0,13076.0,2.74,0.2,0.09,348.42,Morning,Medium,Normal Operation,7.16,59.0,14.0,68.0,11.0,April,2,Long Rains,1
2024-04-22,4.21,125441.0,62373.0,85950.0,20051.0,3.31,0.45,0.08,347.01,Afternoon,Medium,Normal Operation,7.16,180.0,36.0,92.0,7.0,April,2,Long Rains,0
2024-04-23,4.6,120948.0,65072.0,101314.0,15421.0,2.87,0.3,0.08,412.44,Morning,Medium,Normal Operation,7.15,180.0,44.0,74.0,14.0,April,2,Long Rains,0
2024-04-24,4.17,116805.0,55082.0,85182.0,13047.0,2.99,0.38,0.06,347.95,Afternoon,High,Normal Operation,7.08,180.0,36.0,125.0,12.0,April,2,Long Rains,0
2024-04-25,4.25,119380.0,61812.0,93226.0,18765.0,3.73,0.34,0.13,359.0,Night,Medium,Normal Operation,7.27,180.0,34.0,107.0,9.0,April,2,Long Rains,0
2024-04-26,4.19,140000.0,71509.0,83421.0,21533.0,3.53,0.43,0.09,467.88,Night,Medium,Normal Operation,6.97,180.0,17.0,145.0,15.0,April,2,Long Rains,0
2024-04-27,3.99,114309.0,54814.0,96821.0,15043.0,3.26,0.37,0.12,362.41,Afternoon,Medium,Normal Operation,7.26,180.0,33.0,101.0,5.0,April,2,Long Rains,0
2024-04-28,4.41,117413.0,54440.0,96170.0,12753.0,2.69,0.34,0.12,320.58,Morning,Medium,Normal Operation,7.11,125.0,25.0,80.0,4.0,April,2,Long Rains,0
2024-04-29,4.34,127608.0,65739.0,106637.0,17679.0,3.28,0.3,0.07,395.5,Afternoon,Medium,Normal Operation,7.17,180.0,41.0,96.0,12.0,April,2,Long Rains,0
2024-04-30,4.34,128266.0,67194.0,88420.0,17694.0,3.63,0.4,0.08,469.39,Morning,High,Normal Operation,7.29,180.0,28.0,108.0,15.0,April,2,Long Rains,0
2024-05-01,4.04,129244.0,62239.0,96018.0,19919.0,3.05,0.24,0.15,377.26,Night,Medium,Normal Operation,7.01,180.0,34.0,91.0,13.0,May,2,Long Rains,0
2024-05-02,4.45,122665.0,63109.0,90883.0,21324.0,3.74,0.39,0.14,419.12,Night,Medium,Normal Operation,7.51,180.0,23.0,104.0,14.0,May,2,Long Rains,0
2024-05-03,3.95,101284.0,49580.0,101663.0,17792.0,3.72,0.28,0.1,306.36,Afternoon,Low,Normal Operation,7.27,180.0,35.0,94.0,13.0,May,2,Long Rains,0
2024-05-04,4.31,134601.0,70170.0,83531.0,24494.0,3.87,0.43,0.11,469.44,Morning,Low,Normal Operation,7.28,180.0,25.0,81.0,17.0,May,2,Long Rains,0
2024-05-05,4.59,101244.0,47577.0,96705.0,18785.0,3.32,0.36,0.09,316.55,Morning,Low,Normal Operation,7.1,40.0,5.0,83.0,11.0,May,2,Long Rains,1
2024-05-06,4.02,118632.0,63945.0,88248.0,16788.0,3.43,0.39,0.11,415.75,Morning,High,Normal Operation,7.24,180.0,35.0,93.0,5.0,May,2,Long Rains,0
2024-05-07,4.1,105949.0,50722.0,89422.0,12360.0,3.77,0.35,0.09,344.0,Night,Medium,Maintenance,7.45,180.0,26.0,96.0,3.0,May,2,Long Rains,0
2024-05-08,4.22,114230.0,55605.0,90826.0,17081.0,3.38,0.24,0.06,384.16,Afternoon,Medium,Normal Operation,7.35,180.0,40.0,107.0,24.0,May,2,Long Rains,0
2024-05-09,4.11,118945.0,54216.0,92270.0,16823.0,3.0,0.3,0.07,345.36,Morning,Medium,Normal Operation,7.27,79.0,9.0,110.0,10.0,May,2,Long Rains,1
2024-05-10,3.92,118856.0,54811.0,88954.0,21361.0,3.02,0.39,0.1,320.98,Afternoon,High,Maintenance,7.24,180.0,20.0,122.0,14.0,May,2,Long Rains,0
2024-05-11,4.21,120063.0,60222.0,91932.0,19619.0,3.3,0.36,0.08,367.23,Night,Medium,Normal Operation,7.17,180.0,29.0,73.0,12.0,May,2,Long Rains,0
2024-05-12,4.01,134365.0,64060.0,104203.0,13872.0,2.68,0.42,0.1,425.19,Morning,High,Maintenance,6.95,180.0,37.0,89.0,12.0,May,2,Long Rains,0
2024-05-13,4.29,120442.0,64262.0,98869.0,18603.0,3.14,0.37,0.08,416.18,Night,Medium,Normal Operation,7.17,180.0,25.0,83.0,11.0,May,2,Long Rains,0
2024-05-14,4.03,112070.0,50596.0,97822.0,20350.0,3.64,0.29,0.08,291.77,Night,High,Normal Operation,7.24,180.0,25.0,95.0,22.0,May,2,Long Rains,0
2024-05-15,4.48,126569.0,61754.0,85900.0,23348.0,2.5,0.3,0.12,344.39,Night,Medium,Normal Operation,7.22,180.0,27.0,90.0,11.0,May,2,Long Rains,0
2024-05-16,4.06,129274.0,62534.0,81997.0,21106.0,3.81,0.36,0.1,408.0,Morning,Medium,Maintenance,7.33,180.0,38.0,102.0,13.0,May,2,Long Rains,0
2024-05-17,4.14,100269.0,45315.0,98598.0,20663.0,3.65,0.21,0.1,266.3,Morning,Medium,Normal Operation,7.46,63.0,13.0,115.0,7.0,May,2,Long Rains,1
2024-05-18,4.35,122169.0,56495.0,97884.0,18210.0,3.02,0.45,0.12,353.07,Morning,Medium,Normal Operation,7.32,180.0,42.0,50.0,23.0,May,2,Long Rains,0
2024-05-19,3.98,123414.0,60641.0,103254.0,19359.0,3.42,0.38,0.11,401.45,Morning,Low,Normal Operation,7.18,40.0,5.0,101.0,10.0,May,2,Long Rains,1
2024-05-20,4.24,111429.0,55635.0,84564.0,22373.0,3.2,0.42,0.13,352.95,Morning,Medium,Normal Operation,6.98,180.0,32.0,72.0,16.0,May,2,Long Rains,0
2024-05-21,4.44,131508.0,64496.0,87934.0,13335.0,3.69,0.26,0.09,362.78,Afternoon,Medium,Normal Operation,7.44,180.0,22.0,105.0,16.0,May,2,Long Rains,0
2024-05-22,3.91,113199.0,56950.0,75245.0,16777.0,3.59,0.42,0.09,329.08,Afternoon,Low,Normal Operation,7.42,77.0,17.0,79.0,12.0,May,2,Long Rains,1
2024-05-23,4.23,116507.0,59362.0,86468.0,15296.0,2.64,0.48,0.07,346.02,Night,High,Maintenance,6.95,180.0,22.0,118.0,17.0,May,2,Long Rains,0
2024-05-24,4.25,112923.0,50927.0,98969.0,19327.0,3.43,0.27,0.09,299.8,Morning,Medium,Normal Operation,7.42,180.0,20.0,114.0,10.0,May,2,Long Rains,0
